Name,City,State,Manager,"Vintage Year","Fund Size","Average Investment","Investment Strategy","Fund Style","Making New Investments?","Investor Relations Name","Investor Relations Email","Investor Relations Phone"
"1st Source Capital Corporation","South Bend",IN,"1st Source Capital Corporation",1983,2850000,283740,"Direct Lending",Venture,No,"Ryan Fenstermaker",fenstermakerr@1stsource.com,574-235-2180
"AAVIN Capital III, LP","Cedar Rapids",IA,"AAVIN Private Equity",2022,241950000,12000000,Buyout,"Private Equity",Yes,"James D. Thorp",jthorp@aavin.com,"(319) 247-1072"
"Abacus Finance SBIC Fund I, L.P.","New York",NY,"Abacus Finance Group, LLC",2024,87051102,,"Direct Lending","Private Credit",Yes,"Seth Friedman",friedmans@abacusfinance.com,212-850-4629
"AE Ventures Fund III, LP","Boca Raton",FL,"AE Industrial Partners - AE Ventures",2025,35000000,,"Balanced Venture",Venture,Yes,"Lauren Graupman",lgraupman@aeroequity.com,561-372-0908
"Aldine Capital Fund II, L.P.",Chicago,IL,"Aldine Capital Partners",2013,46759282,1346803,Mezzanine,Hybrid,No,"Steve Groya",sgroya@aldinecapital.com,312-346-1006
"Aldine Capital Fund II, LP",Chicago,IL,"Aldine Capital Partners",2013,28745150,,Mezzanine,"Private Credit",Yes,"Michael Revord",mrevord@aldinecapital.com,"(312) 346-1006"
"Aldine Capital Fund III, LP",Chicago,IL,"Aldine Capital Partners",2019,185866570,4415203,Mezzanine,"Private Equity",No,"Steven Groya",sgroya@aldinecapital.com,"(312) 346-1006"
"Aldine Capital Fund IV, LP",Chicago,IL,"Aldine Capital Partners",2022,170220000,4000829,Mezzanine,"Private Equity",Yes,"Eric McClintock",emcclintock@aldinecapital.com,"(312) 346-1002"
"Altimer Capital Private Credit Fund I-A, LP",Boston,MA,"Altimer Capital A, LP",2025,22000000,,"Direct Lending","Private Credit",Yes,"Natasha Fox",natasha@altimercapital.com,617-274-1280
"Argentum Capital Partners III, L.P.","New York",NY,"Argentum Fund Management, LLC",2014,87934000,1444665,"Hybrid Debt/Equity",Hybrid,No,"Steven Berman",sdberman@argentumgroup.com,212-949-8511
"Argentum Capital Partners III, LP","New York",NY,"Argentum Fund Management, LLC",2015,57734000,,"Growth Equity","Growth Equity",Yes,"Steven Berman",sdberman@argentumgroup.com,"(212) 949-8511"
